seed	regime	gene_id	time	expression
7483	collapse	1	143	6.138341324006861e-17
7483	collapse	1	144	4.9956890894373894e-17
7483	collapse	1	145	4.0657256990992e-17
7483	collapse	1	146	3.308867123679399e-17
7483	collapse	1	147	2.6928948080379743e-17
7483	collapse	1	148	2.1915856738107775e-17
7483	collapse	1	149	1.7835967828464714e-17
7483	collapse	1	150	1.4515573756855446e-17
7483	collapse	1	151	1.1813297629463242e-17
7483	collapse	1	152	9.614076921768543e-18
7483	collapse	1	153	7.824266358702736e-18
7483	collapse	1	154	6.367651912339529e-18
7483	collapse	1	155	5.182206478275984e-18
7483	collapse	1	156	4.2174492778678294e-18
7483	collapse	1	157	3.4322966763079155e-18
7483	collapse	1	158	2.7933129880993856e-18
7483	collapse	1	159	2.2732868441560834e-18
7483	collapse	1	160	1.850072537948094e-18
7483	collapse	1	161	1.5056470381306984e-18
7483	collapse	1	162	1.225342529719008e-18
7483	collapse	1	163	9.972218143265439e-19
7483	collapse	1	164	8.115699793167588e-19
7483	collapse	1	165	6.604806941297785e-19
7483	collapse	1	166	5.375195198085815e-19
7483	collapse	1	167	4.374498960683062e-19
7483	collapse	1	168	3.56010138524188e-19
7483	collapse	1	169	2.897319504024614e-19
7483	collapse	1	170	2.357927205895208e-19
7483	collapse	1	171	1.9189531843257369e-19
7483	collapse	1	172	1.5617026650687986e-19
7483	collapse	1	173	1.2709612543952646e-19
7483	collapse	1	174	1.0343470038597375e-19
7483	collapse	1	175	8.417830990513147e-20
7483	collapse	1	176	6.850687164030763e-20
7483	collapse	1	177	5.575297725558889e-20
7483	collapse	1	178	4.5373469298681573e-20
7483	collapse	1	179	3.6926309547911646e-20
7483	collapse	1	180	3.0051753742663445e-20
7483	collapse	1	181	2.4457030988269867e-20
7483	collapse	1	182	1.9903875377432053e-20
7483	collapse	1	183	1.6198378836185543e-20
7483	collapse	1	184	1.3182733055706635e-20
7483	collapse	1	185	1.0728508821465604e-20
7483	collapse	1	186	8.731186524342311e-21
7483	collapse	1	187	7.105704922517103e-21
7483	collapse	1	188	5.782838587379408e-21
7483	collapse	1	189	4.7062497580760634e-21
7483	collapse	1	190	3.8300890505791704e-21
7483	collapse	1	191	3.117042841427023e-21
7483	collapse	1	192	2.5367441690140582e-21
7483	collapse	1	193	2.064479476594543e-21
7483	collapse	1	194	1.6801361203209898e-21
7483	collapse	1	195	1.3673458192234488e-21
7483	collapse	1	196	1.1127875687210362e-21
7483	collapse	1	197	9.05620330419598e-22
7483	collapse	1	198	7.370213378066313e-22
7483	collapse	1	199	5.998103553808493e-22
7483	collapse	1	200	4.881438893041426e-22
7483	collapse	2	0	0.03110874996638542
7483	collapse	2	1	0.03116939279530104
7483	collapse	2	2	0.019818567113409215
7483	collapse	2	3	0.013587412516468758
7483	collapse	2	4	0.012781632455296139
7483	collapse	2	5	0.013078947465056018
7483	collapse	2	6	0.013670165225310584
7483	collapse	2	7	0.014093086783208088
7483	collapse	2	8	0.01421818523356937
7483	collapse	2	9	0.01426160973624184
7483	collapse	2	10	0.014312080898180236
7483	collapse	2	11	0.014387809561922956
7483	collapse	2	12	0.014472348921498766
7483	collapse	2	13	0.014556955096021411
7483	collapse	2	14	0.01464497957324188
7483	collapse	2	15	0.01474268846152669
7483	collapse	2	16	0.014851990123455297
7483	collapse	2	17	0.014970192382313528
