source_world_id,edge_id,source_gene,target_gene,sign,strength,abs_strength,source_outdegree,target_indegree,is_in_largest_scc,is_cycle_associated
chen_balanced_r025_t000,chen_balanced_r025_t000_e0039,17,18,1,0.18329504,0.18329504,3,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0040,2,7,-1,-0.13130409,0.13130409,4,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0041,13,7,-1,-0.11049777,0.11049777,7,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0042,6,7,1,0.18516738,0.18516738,4,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0043,1,7,-1,-0.19235726,0.19235726,6,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0044,18,12,1,0.16873277,0.16873277,5,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0045,11,12,1,0.19778743,0.19778743,5,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0046,13,12,-1,-0.13660967,0.13660967,7,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0047,4,12,-1,-0.12958235,0.12958235,4,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0048,4,2,1,0.19247988,0.19247988,4,7,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0049,10,2,1,0.18268463,0.18268463,3,7,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0050,19,2,-1,-0.12292273,0.12292273,8,7,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0051,18,2,1,0.11353677,0.11353677,5,7,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0052,17,2,-1,-0.15691399,0.15691399,3,7,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0053,0,2,-1,-0.18831496,0.18831496,3,7,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0054,1,2,1,0.16961461,0.16961461,6,7,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0055,7,1,1,0.12577896,0.12577896,5,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0056,14,1,1,0.12417187,0.12417187,8,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0057,3,1,1,0.14328195,0.14328195,2,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0058,19,1,-1,-0.13154213,0.13154213,8,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0059,16,1,1,0.14814987,0.14814987,4,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0060,8,10,-1,-0.12323217,0.12323217,6,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0061,1,10,-1,-0.1586039,0.1586039,6,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0062,19,10,-1,-0.14333287,0.14333287,8,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0063,6,10,-1,-0.13409947,0.13409947,4,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0064,11,10,1,0.17909002,0.17909002,5,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0065,13,10,1,0.18454048,0.18454048,7,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0066,4,9,1,0.11351001,0.11351001,4,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0067,0,9,1,0.18765578,0.18765578,3,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0068,1,9,-1,-0.16257589,0.16257589,6,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0069,19,9,-1,-0.17749559,0.17749559,8,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0070,15,6,-1,-0.18400719,0.18400719,5,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0071,16,6,1,0.12526945,0.12526945,4,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0072,8,6,1,0.11297225,0.11297225,6,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0073,19,6,1,0.14356802,0.14356802,8,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0074,10,6,-1,-0.11551681,0.11551681,3,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0075,14,6,-1,-0.10244693,0.10244693,8,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0076,13,16,-1,-0.11988284,0.11988284,7,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0077,15,16,-1,-0.17878682,0.17878682,5,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0078,12,16,-1,-0.12150096,0.12150096,7,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0079,7,16,-1,-0.13507739,0.13507739,5,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0080,5,16,-1,-0.17510032,0.17510032,3,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0081,14,5,-1,-0.10139876,0.10139876,8,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0082,10,5,1,0.15381826,0.15381826,3,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0083,11,5,-1,-0.10561745,0.10561745,5,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0084,9,5,-1,-0.12446649,0.12446649,3,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0085,8,5,1,0.14937414,0.14937414,6,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0086,12,14,1,0.14544963,0.14544963,7,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0087,9,14,-1,-0.14531188,0.14531188,3,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0088,18,14,-1,-0.11657427,0.11657427,5,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0089,8,14,-1,-0.11461569,0.11461569,6,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0090,3,13,1,0.18836569,0.18836569,2,2,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0091,14,13,1,0.18381453,0.18381453,8,2,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0092,12,15,1,0.19091629,0.19091629,7,3,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0093,1,15,-1,-0.10065947,0.10065947,6,3,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0094,2,15,1,0.18793227,0.18793227,4,3,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0000,0,9,1,0.1731382,0.1731382,5,2,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0001,14,9,-1,-0.19506336,0.19506336,7,2,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0002,15,10,1,0.10515764,0.10515764,3,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0003,17,10,-1,-0.13206976,0.13206976,6,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0004,11,10,-1,-0.12254829,0.12254829,5,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0005,14,10,-1,-0.18257855,0.18257855,7,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0006,13,10,-1,-0.1266505,0.1266505,5,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0007,5,10,-1,-0.17402394,0.17402394,8,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0008,13,15,1,0.19019146,0.19019146,5,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0009,5,15,1,0.13573516,0.13573516,8,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0010,11,15,-1,-0.17988408,0.17988408,5,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0011,12,15,-1,-0.15533964,0.15533964,5,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0012,3,15,-1,-0.18300267,0.18300267,4,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0013,1,15,-1,-0.17506217,0.17506217,4,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0014,13,18,-1,-0.12709248,0.12709248,5,2,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0015,12,18,1,0.17056667,0.17056667,5,2,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0016,7,17,-1,-0.16749038,0.16749038,9,3,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0017,6,17,1,0.18825436,0.18825436,6,3,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0018,1,17,1,0.12892511,0.12892511,4,3,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0019,5,14,-1,-0.10824729,0.10824729,8,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0020,10,14,1,0.13483925,0.13483925,3,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0021,16,14,-1,-0.16154881,0.16154881,5,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0022,1,14,1,0.18429307,0.18429307,4,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0023,18,14,1,0.10536753,0.10536753,5,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0024,13,14,1,0.18030163,0.18030163,5,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0025,3,13,1,0.12148541,0.12148541,4,10,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0026,7,13,1,0.11539442,0.11539442,9,10,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0027,5,13,-1,-0.14737208,0.14737208,8,10,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0028,19,13,1,0.18916355,0.18916355,3,10,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0029,2,13,-1,-0.12382716,0.12382716,3,10,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0030,12,13,-1,-0.14377931,0.14377931,5,10,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0031,6,13,1,0.13791095,0.13791095,6,10,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0032,18,13,1,0.15953283,0.15953283,5,10,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0033,16,13,1,0.16296657,0.16296657,5,10,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0034,14,13,1,0.19862271,0.19862271,7,10,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0035,14,19,-1,-0.16683704,0.16683704,7,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0036,0,19,1,0.13161739,0.13161739,5,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0037,5,19,-1,-0.11783577,0.11783577,8,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0038,4,19,1,0.11423583,0.11423583,5,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0039,16,19,1,0.17569089,0.17569089,5,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0040,10,19,1,0.14980119,0.14980119,3,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0041,15,2,1,0.19383424,0.19383424,3,5,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0042,11,2,-1,-0.13595013,0.13595013,5,5,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0043,5,2,1,0.12016343,0.12016343,8,5,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0044,18,2,1,0.14320542,0.14320542,5,5,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0045,7,2,1,0.16759106,0.16759106,9,5,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0046,15,12,1,0.11299545,0.11299545,3,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0047,17,12,-1,-0.16932361,0.16932361,6,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0048,9,12,-1,-0.11706214,0.11706214,3,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0049,7,12,-1,-0.12820274,0.12820274,9,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0050,2,12,-1,-0.18829126,0.18829126,3,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0051,5,12,-1,-0.15894252,0.15894252,8,6,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0052,10,4,1,0.14260528,0.14260528,3,5,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0053,13,4,-1,-0.19649378,0.19649378,5,5,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0054,7,4,-1,-0.19812046,0.19812046,9,5,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0055,2,4,-1,-0.12028881,0.12028881,3,5,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0056,12,4,1,0.10101556,0.10101556,5,5,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0057,4,11,1,0.1920382,0.1920382,5,2,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0058,5,11,1,0.11556979,0.11556979,8,2,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0059,0,5,-1,-0.12963497,0.12963497,5,2,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0060,7,5,-1,-0.14933371,0.14933371,9,2,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0061,4,3,-1,-0.14449997,0.14449997,5,3,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0062,6,3,1,0.11956632,0.11956632,6,3,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0063,17,3,-1,-0.15175694,0.15175694,6,3,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0064,12,6,1,0.19116928,0.19116928,5,5,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0065,17,6,-1,-0.10734281,0.10734281,6,5,True,NA
chen_balanced_r025_t005,chen_balanced_r025_t005_e0066,0,6,1,0.19630506,0.19630506,5,5,True,NA
